Date,DayNum,DayName,Season,DayType
1/1/2025,4,Wednesday,Non-Summer,Sunday & Off-Peak Day
1/2/2025,5,Thursday,Non-Summer,Weekday
1/3/2025,6,Friday,Non-Summer,Weekday
1/4/2025,7,Saturday,Non-Summer,Saturday
1/5/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
1/6/2025,2,Monday,Non-Summer,Weekday
1/7/2025,3,Tuesday,Non-Summer,Weekday
1/8/2025,4,Wednesday,Non-Summer,Weekday
1/9/2025,5,Thursday,Non-Summer,Weekday
1/10/2025,6,Friday,Non-Summer,Weekday
1/11/2025,7,Saturday,Non-Summer,Saturday
1/12/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
1/13/2025,2,Monday,Non-Summer,Weekday
1/14/2025,3,Tuesday,Non-Summer,Weekday
1/15/2025,4,Wednesday,Non-Summer,Weekday
1/16/2025,5,Thursday,Non-Summer,Weekday
1/17/2025,6,Friday,Non-Summer,Weekday
1/18/2025,7,Saturday,Non-Summer,Saturday
1/19/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
1/20/2025,2,Monday,Non-Summer,Weekday
1/21/2025,3,Tuesday,Non-Summer,Weekday
1/22/2025,4,Wednesday,Non-Summer,Weekday
1/23/2025,5,Thursday,Non-Summer,Weekday
1/24/2025,6,Friday,Non-Summer,Weekday
1/25/2025,7,Saturday,Non-Summer,Saturday
1/26/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
1/27/2025,2,Monday,Non-Summer,Weekday
1/28/2025,3,Tuesday,Non-Summer,Sunday & Off-Peak Day
1/29/2025,4,Wednesday,Non-Summer,Sunday & Off-Peak Day
1/30/2025,5,Thursday,Non-Summer,Sunday & Off-Peak Day
1/31/2025,6,Friday,Non-Summer,Sunday & Off-Peak Day
2/1/2025,7,Saturday,Non-Summer,Sunday & Off-Peak Day
2/2/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
2/3/2025,2,Monday,Non-Summer,Weekday
2/4/2025,3,Tuesday,Non-Summer,Weekday
2/5/2025,4,Wednesday,Non-Summer,Weekday
2/6/2025,5,Thursday,Non-Summer,Weekday
2/7/2025,6,Friday,Non-Summer,Weekday
2/8/2025,7,Saturday,Non-Summer,Saturday
2/9/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
2/10/2025,2,Monday,Non-Summer,Weekday
2/11/2025,3,Tuesday,Non-Summer,Weekday
2/12/2025,4,Wednesday,Non-Summer,Weekday
2/13/2025,5,Thursday,Non-Summer,Weekday
2/14/2025,6,Friday,Non-Summer,Weekday
2/15/2025,7,Saturday,Non-Summer,Saturday
2/16/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
2/17/2025,2,Monday,Non-Summer,Weekday
2/18/2025,3,Tuesday,Non-Summer,Weekday
2/19/2025,4,Wednesday,Non-Summer,Weekday
2/20/2025,5,Thursday,Non-Summer,Weekday
2/21/2025,6,Friday,Non-Summer,Weekday
2/22/2025,7,Saturday,Non-Summer,Saturday
2/23/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
2/24/2025,2,Monday,Non-Summer,Weekday
2/25/2025,3,Tuesday,Non-Summer,Weekday
2/26/2025,4,Wednesday,Non-Summer,Weekday
2/27/2025,5,Thursday,Non-Summer,Weekday
2/28/2025,6,Friday,Non-Summer,Sunday & Off-Peak Day
3/1/2025,7,Saturday,Non-Summer,Saturday
3/2/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
3/3/2025,2,Monday,Non-Summer,Weekday
3/4/2025,3,Tuesday,Non-Summer,Weekday
3/5/2025,4,Wednesday,Non-Summer,Weekday
3/6/2025,5,Thursday,Non-Summer,Weekday
3/7/2025,6,Friday,Non-Summer,Weekday
3/8/2025,7,Saturday,Non-Summer,Saturday
3/9/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
3/10/2025,2,Monday,Non-Summer,Weekday
3/11/2025,3,Tuesday,Non-Summer,Weekday
3/12/2025,4,Wednesday,Non-Summer,Weekday
3/13/2025,5,Thursday,Non-Summer,Weekday
3/14/2025,6,Friday,Non-Summer,Weekday
3/15/2025,7,Saturday,Non-Summer,Saturday
3/16/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
3/17/2025,2,Monday,Non-Summer,Weekday
3/18/2025,3,Tuesday,Non-Summer,Weekday
3/19/2025,4,Wednesday,Non-Summer,Weekday
3/20/2025,5,Thursday,Non-Summer,Weekday
3/21/2025,6,Friday,Non-Summer,Weekday
3/22/2025,7,Saturday,Non-Summer,Saturday
3/23/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
3/24/2025,2,Monday,Non-Summer,Weekday
3/25/2025,3,Tuesday,Non-Summer,Weekday
3/26/2025,4,Wednesday,Non-Summer,Weekday
3/27/2025,5,Thursday,Non-Summer,Weekday
3/28/2025,6,Friday,Non-Summer,Weekday
3/29/2025,7,Saturday,Non-Summer,Saturday
3/30/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
3/31/2025,2,Monday,Non-Summer,Weekday
4/1/2025,3,Tuesday,Non-Summer,Weekday
4/2/2025,4,Wednesday,Non-Summer,Weekday
4/3/2025,5,Thursday,Non-Summer,Weekday
4/4/2025,6,Friday,Non-Summer,Sunday & Off-Peak Day
4/5/2025,7,Saturday,Non-Summer,Saturday
4/6/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
4/7/2025,2,Monday,Non-Summer,Weekday
4/8/2025,3,Tuesday,Non-Summer,Weekday
4/9/2025,4,Wednesday,Non-Summer,Weekday
4/10/2025,5,Thursday,Non-Summer,Weekday
4/11/2025,6,Friday,Non-Summer,Weekday
4/12/2025,7,Saturday,Non-Summer,Saturday
4/13/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
4/14/2025,2,Monday,Non-Summer,Weekday
4/15/2025,3,Tuesday,Non-Summer,Weekday
4/16/2025,4,Wednesday,Non-Summer,Weekday
4/17/2025,5,Thursday,Non-Summer,Weekday
4/18/2025,6,Friday,Non-Summer,Weekday
4/19/2025,7,Saturday,Non-Summer,Saturday
4/20/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
4/21/2025,2,Monday,Non-Summer,Weekday
4/22/2025,3,Tuesday,Non-Summer,Weekday
4/23/2025,4,Wednesday,Non-Summer,Weekday
4/24/2025,5,Thursday,Non-Summer,Weekday
4/25/2025,6,Friday,Non-Summer,Weekday
4/26/2025,7,Saturday,Non-Summer,Saturday
4/27/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
4/28/2025,2,Monday,Non-Summer,Weekday
4/29/2025,3,Tuesday,Non-Summer,Weekday
4/30/2025,4,Wednesday,Non-Summer,Weekday
5/1/2025,5,Thursday,Non-Summer,Sunday & Off-Peak Day
5/2/2025,6,Friday,Non-Summer,Weekday
5/3/2025,7,Saturday,Non-Summer,Saturday
5/4/2025,1,Sunday,Non-Summer,Sunday & Off-Peak Day
