Month,Consumption_kWh,Total_Cost,Total_Cost_With_Battery,Savings,Savings_Pct,Month_Name
1,1922.0,2424.7999999999997,2424.7999999999997,0.0,0.0,January
2,1736.0,2424.7999999999997,2424.7999999999997,0.0,0.0,February
3,1922.0,2424.7999999999997,2424.7999999999997,0.0,0.0,March
4,1860.0,2424.7999999999997,2424.7999999999997,0.0,0.0,April
5,1922.0,2424.7999999999997,2424.7999999999997,0.0,0.0,May
6,1860.0,1653.3999999999999,1653.3999999999999,0.0,0.0,June
7,1922.0,1653.3999999999999,1653.3999999999999,0.0,0.0,July
8,1922.0,1653.3999999999999,1653.3999999999999,0.0,0.0,August
9,1860.0,1653.3999999999999,1653.3999999999999,0.0,0.0,September
10,1922.0,2424.7999999999997,2424.7999999999997,0.0,0.0,October
11,1860.0,2424.7999999999997,2424.7999999999997,0.0,0.0,November
12,1922.0,2424.7999999999997,2424.7999999999997,0.0,0.0,December
13,22630.0,26011.999999999996,26011.999999999996,0.0,0.0,TOTAL
